method,step,score,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,criterion,best_so_far
manual_bo,33,0.7708333333333333,242,25,12,5,0.7627015177116101,True,entropy,0.77734375
manual_bo,34,0.7760416666666666,180,16,14,2,0.633799814253243,True,log_loss,0.77734375
manual_bo,35,0.7630208333333334,219,13,13,15,0.908933594240543,False,entropy,0.77734375
manual_bo,36,0.7682291666666666,241,24,12,5,0.9108450764105438,True,entropy,0.77734375
manual_bo,37,0.76953125,182,19,13,4,0.7080735572240964,True,log_loss,0.77734375
manual_bo,38,0.7565104166666666,152,24,12,13,0.9598844527260704,False,log_loss,0.77734375
manual_bo,39,0.77734375,100,15,14,2,0.3401544733667861,True,log_loss,0.77734375
manual_bo,40,0.7669270833333333,170,10,11,14,0.8586146287229286,False,entropy,0.77734375
manual_bo,41,0.7643229166666666,311,22,3,3,0.3423023143205257,True,gini,0.77734375
manual_bo,42,0.7747395833333333,84,16,9,2,0.9313520769417682,True,entropy,0.77734375
manual_bo,43,0.7643229166666666,115,14,20,12,0.7145591181485182,False,log_loss,0.77734375
manual_bo,44,0.7473958333333334,129,10,17,3,0.9409994517720994,False,gini,0.77734375
manual_bo,45,0.7708333333333334,340,27,17,14,0.3684593302399181,False,gini,0.77734375
manual_bo,46,0.76171875,294,20,13,9,0.8348254957077563,False,log_loss,0.77734375
manual_bo,47,0.7669270833333334,310,15,10,9,0.9279941630960744,True,gini,0.77734375
manual_bo,48,0.7747395833333334,309,11,12,2,0.6345435183811199,True,entropy,0.77734375
manual_random,1,0.7630208333333333,76,24,14,7,0.8868783359291059,False,log_loss,0.7630208333333333
manual_random,2,0.7604166666666666,110,4,12,15,0.8089117615922825,True,log_loss,0.7630208333333333
manual_random,3,0.7591145833333334,204,5,17,7,0.496638419386065,False,log_loss,0.7630208333333333
manual_random,4,0.76171875,285,20,9,13,0.554731359061865,False,gini,0.7630208333333333
manual_random,5,0.7552083333333334,77,18,18,1,0.8621049375940657,False,entropy,0.7630208333333333
manual_random,6,0.7643229166666666,99,23,15,6,0.9765584195159227,False,log_loss,0.7643229166666666
manual_random,7,0.7643229166666666,254,24,16,3,0.5733768029816273,False,gini,0.7643229166666666
manual_random,8,0.7578125,214,6,16,11,0.7958097247262537,False,log_loss,0.7643229166666666
manual_random,9,0.7604166666666666,173,11,19,6,0.5756446490206464,True,gini,0.7643229166666666
manual_random,10,0.7630208333333333,189,5,15,8,0.3815274792407073,True,log_loss,0.7643229166666666
manual_random,11,0.7669270833333333,333,14,5,13,0.7602120816017994,False,gini,0.7669270833333333
manual_random,12,0.7669270833333333,281,26,10,13,0.5099827032241395,True,gini,0.7669270833333333
manual_random,13,0.7669270833333333,122,21,14,3,0.35992656198008666,True,gini,0.7669270833333333
manual_random,14,0.7643229166666666,289,24,16,10,0.764132302901068,False,log_loss,0.7669270833333333
manual_random,15,0.7643229166666666,217,15,11,9,0.311837598502126,False,gini,0.7669270833333333
manual_random,16,0.76953125,182,21,14,8,0.6521888851849511,False,log_loss,0.76953125
manual_random,17,0.7630208333333334,222,20,12,9,0.6473657285963308,True,gini,0.76953125
manual_random,18,0.7447916666666666,231,2,8,7,0.3716677382556234,False,entropy,0.76953125
manual_random,19,0.7578125000000001,348,26,2,4,0.24664219335125281,True,gini,0.76953125
manual_random,20,0.76953125,326,10,10,10,0.6456257218730227,True,log_loss,0.76953125
manual_random,21,0.7578125,349,21,9,7,0.8512163077328279,False,gini,0.76953125
manual_random,22,0.7578125000000001,150,2,4,2,0.7778874804771603,True,entropy,0.76953125
manual_random,23,0.7643229166666667,265,6,19,8,0.3218496821705348,False,log_loss,0.76953125
manual_random,24,0.76953125,199,14,5,6,0.44120967131830124,True,entropy,0.76953125
manual_random,25,0.7682291666666667,232,12,20,2,0.2944047216964123,False,log_loss,0.76953125
manual_random,26,0.7643229166666666,160,28,11,11,0.4126959691676157,True,log_loss,0.76953125
manual_random,27,0.7669270833333333,129,24,6,11,0.559489201715031,True,gini,0.76953125
manual_random,28,0.7578125,73,4,10,14,0.564621031866889,True,gini,0.76953125
manual_random,29,0.7669270833333334,267,10,17,9,0.3414182263513854,False,log_loss,0.76953125
manual_random,30,0.7669270833333333,55,23,11,11,0.545674431820083,False,entropy,0.76953125
